Word,Furigana,Meaning,Level
遠慮,えんりょ,사양/겸손,N1
考慮,こうりょ,고려,N1
配慮,はいりょ,배려,N1
枠,わく,테두리/틀,N1
窓枠,まどわく,"창틀, メガネの",N1
枠,わく,안경테,N1
露,ろ,,N1
出,しゅつ,노출,N1
露,ろ,,N1
店,てん,노점,N1
露,ろ,,N1
骨,こつ,노골,N1
披,ひ,,N1
露,ろう,피로(공표함/펴 보임),N1
露,つゆ,이슬,N1
夜,よ,,N1
露,つゆ,밤이슬,N1
沖,ちゅう,,N1
天,てん,충천,N1
沖縄県,おきなわけん,오키나와 현,N1
緩,かん,,N1
急,きゅう,완급,N1
緩,かん,,N1
和,わ,완화,N1
緩慢,かんまん,완만,N1
需要,じゅよう,수요,N1
必需品,ひつじゅひん,필수품,N1
射撃,しゃげき,사격,N1
発射,はっしゃ,발사,N1
注,ちゅう,,N1
射,しゃ,주사,N1
矢,や,を,N1
射,い,る 화살을 쏘다,N1
購,こう,,N1
入,にゅう,구입,N1
購買,こうばい,구매,N1
購読,こうどく,구독,N1
指揮,しき,지휘,N1
発,はっ,,N1
揮,き,발휘,N1
揮,き,,N1
発,はつ,휘발,N1
充,じゅう,,N1
電,でん,충전,N1
充,じゅう,,N1
実,じつ,충실,N1
補,ほ,,N1
充,じゅう,보충,N1
痕跡,こんせき,흔적,N1
追跡,ついせき,추적,N1
奇,き,,N1
跡,せき,기적,N1
遺,い,,N1
跡,せき,유적,N1
足跡,あしあと,발자취/종적,N1
跡,あと,,N1
継,つ,ぎ 후계자/대를 이을 아들,N1
貢献,こうけん,공헌,N1
年,ねん,,N1
貢,ぐ,연공/소작료,N1
朝,ちょう,,N1
廷,てい,に,N1
貢,みつ,ぐ 조정에 공물을 바치다,N1
鹿,しか,사슴,N1
馬鹿,ばか,바보,N1
却,きゃっ,,N1
下,か,각하,N1
退,たい,,N1
却,きゃく,퇴각,N1
売,ばい,,N1
却,きゃく,매각,N1
棄,き,,N1
却,きゃく,기각,N1
端正,たんせい,단정,N1
末端,まったん,말단,N1
先端,せんたん,첨단,N1
片端,かたはし,한쪽 끝,N1
中,ちゅう,,N1
途,と,,N1
