Word,Furigana,Meaning,Level
納得,なっとく,납득,N1
納屋,なや,헛간,N1
納戸,なんど,의복/가구 등을 넣어두는 방,N1
出納,すいとう,출납,N1
樹木,じゅもく,수목,N1
樹立,じゅりつ,수립,N1
果樹園,かじゅえん,과수원,N1
挑戦,ちょうせん,도전,N1
挑発,ちょうはつ,도발,N1
誘惑,ゆうわく,유혹,N1
勧誘,かんゆう,권유,N1
誘導,ゆうどう,유도,N1
誘発,ゆうはつ,유발,N1
紛失,ふんしつ,분실,N1
紛争,ふんそう,분쟁,N1
内紛,ないふん,내분,N1
至極,しごく,지극,N1
至尊,しそん,지존,N1
至上命令,しじょうめいれい,지상명령,N1
冬至,とうじ,동지,N1
夏至,げし,하지,N1
宗教,しゅうきょう,종교,N1
宗派,しゅうは,종파,N1
禅宗,ぜんしゅう,선종,N1
宗主,そうしゅ,종주,N1
宗家,そうけ,종가,N1
促進,そくしん,촉진,N1
催促,さいそく,재촉,N1
慎重,しんちょう,신중,N1
謹慎,きんしん,근신,N1
控除,こうじょ,공제,N1
控訴,こうそ,공소,N1
握力,あくりょく,악력,N1
握手,あくしゅ,악수,N1
掌握,しょうあく,장악,N1
把握,はあく,파악,N1
俊秀,しゅんしゅう,준수,N1
俊才,しゅんさい,준재,N1
俊敏,しゅんびん,준민(머리가 날카롭고 날렵함),N1
金銭,きんせん,금전,N1
銭湯,せんとう,대중 목욕탕,N1
小銭,こぜに,잔돈/적은 돈,N1
渋滞,じゅうたい,삽체(정체/밀림),N1
難渋,なんじゅう,난삽(일이 정체됨),N1
銃弾,じゅうだん,총탄,N1
銃砲,じゅうほう,총포,N1
拳銃,けんじゅう,권총,N1
携帯,けいたい,휴대,N1
提携,ていけい,제휴,N1
診察,しんさつ,진찰,N1
診断,しんだん,진단,N1
委託,いたく,위탁,N1
請託,せいたく,청탁,N1
託児所,たくじしょ,탁아소,N1
撮影,さつえい,촬영,N1
誕生,たんじょう,탄생,N1
誕生日,たんじょうび,생일,N1
侵入,しんにゅう,침입,N1
侵害,しんがい,침해,N1
侵略,しんりゃく,침략,N1
一括,いっかつ,일괄,N1
括弧,かっこ,괄호,N1
包括,ほうかつ,포괄,N1
総括,そうかつ,총괄,N1
統括,とうかつ,통괄,N1
感謝,かんしゃ,감사,N1
謝礼,しゃれい,사례,N1
謝罪,しゃざい,사죄,N1
孝行,こうこう,효행,N1
孝子,こうし,효자,N1
不孝,ふこう,불효,N1
先駆者,せんくしゃ,선구자,N1
駆除,くじょ,구제(쫓아내 없앰),N1
駆逐,くちく,구축(몰아서 쫓아냄),N1
透明,とうめい,투명,N1
透写,とうしゃ,투사,N1
透視,とうし,투시,N1
浸透,しんとう,침투,N1
興味津々,きょうみしんしん,흥미진진,N1
津波,つなみ,쓰나미,N1
津々浦々,つつうらうら,방방곡곡,N1
水稲,すいとう,논벼,N1
陸稲,りくとう,밭벼,N1
稲刈り,いねかり,벼 베기,N1
稲穂,いなほ,벼 이삭,N1
稲作,いなさく,벼농사,N1
破裂,はれつ,파열,N1
分裂,ぶんれつ,분열,N1
亀裂,きれつ,균열,N1
鋭敏,えいびん,예민,N1
敏感,びんかん,민감,N1
過敏,かびん,과민,N1
是認,ぜにん,시인,N1
是正,ぜせい,시정,N1
是非,ぜひ,시비(옳고 그름)/반드시/꼭,N1
排斥,はいせき,배척,N1
排除,はいじょ,배제,N1
排水,はいすい,배수,N1
排他,はいた,배타,N1
裕福,ゆうふく,유복,N1
富裕,ふゆう,부유,N1
余裕,よゆう,여유,N1
堅固,けんご,견고,N1
堅実,けんじつ,견실,N1
翻訳,ほんやく,번역,N1
通訳,つうやく,통역,N1
芝生,しばふ,잔디밭,N1
要綱,ようこう,요강,N1
大綱,たいこう,대강,N1
綱引き,つなひき,줄다리기,N1
経典,きょうてん,경전,N1
古典,こてん,고전,N1
原典,げんてん,원전,N1
典型,てんけい,전형,N1
年賀状,ねんがじょう,연하장,N1
祝賀,しゅくが,축하,N1
顧慮,こりょ,고려,N1
回顧,かいこ,회고,N1
顧問,こもん,고문(상담을 받고 의견을 말해주는 사람),N1
訴訟,そしょう,소송,N1
警戒,けいかい,경계,N1
戒律,かいりつ,계율,N1
福祉,ふくし,복지,N1
名誉,めいよ,명예,N1
栄誉,えいよ,영예,N1
歓迎,かんげい,환영,N1
歓声,かんせい,환성,N1
歓喜,かんき,환희,N1
演奏,えんそう,연주,N1
伴奏,ばんそう,반주,N1
勧誘,かんゆう,권유,N1
勧奨,かんしょう,권장,N1
騒動,そうどう,소동,N1
騒音,そうおん,소음,N1
物騒,ぶっそう,어수선함/뒤숭숭함,N1
門閥,もんばつ,문벌,N1
財閥,ざいばつ,재벌,N1
派閥,はばつ,파벌,N1
学閥,がくばつ,학벌,N1
甲乙,こうおつ,갑을,N1
甲殻,こうかく,갑각,N1
甲板,かんぱん,간판,N1
甲高い,かんだかい,(목소리가) 새되다,N1
自縄自縛,じじょうじばく,자승자박,N1
縄文時代,じょうもんじだい,죠몬 시대,N1
縄跳び,なわとび,줄넘기,N1
縄張り,なわばり,세력권,N1
郷土,きょうど,향토,N1
故郷,こきょう,고향,N1
郷愁,きょうしゅう,향수(고향을 그리워하는 마음),N1
在郷,ざいごう,재향,N1
本郷,ほんごう,본향(고향),N1
動揺,どうよう,동요,N1
揺れる,ゆれる,흔들리다(정신적/물질적인 흔들림),N1
揺ゆらぐ,ゆらぐ,흔들리다(주로 정신적인 흔들림),N1
揺さぶる,ゆさぶる,흔들다,N1
免疫,めんえき,면역,N1
免許,めんきょ,면허,N1
免除,めんじょ,면제,N1
免税,めんぜい,면세,N1
既婚,きこん,기혼,N1
既成,きせい,기성,N1
推薦,すいせん,추천,N1
自薦,じせん,자천,N1
勧める,すすめる,권하다/권고하다/권유하다,N1
薦める,すすめる,추천하다,N1
隣接,りんせつ,인접,N1
隣国,りんごく,이웃나라,N1
豪華,ごうか,호화,N1
華麗,かれい,화려,N1
栄華,えいが,영화,N1
法華経,ほけきょう,법화경,N1
範囲,はんい,범위,N1
模範,もはん,모범,N1
規範,きはん,규범,N1
隠居,いんきょ,은거,N1
隠蔽,いんぺい,은폐,N1
陰謀,いんぼう,음모,N1
